Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,7300.000000,7375.000000,7300.000000,7325.000000,7153.527344,130367100
2022-06-16,7400.000000,7600.000000,7375.000000,7575.000000,7397.675293,132666300
2022-06-17,7425.000000,7550.000000,7425.000000,7500.000000,7324.430664,117839400
2022-06-20,7600.000000,7650.000000,7500.000000,7625.000000,7446.504883,88138700
2022-06-21,7600.000000,7650.000000,7550.000000,7650.000000,7470.919434,44295700
2022-06-22,7625.000000,7650.000000,7500.000000,7500.000000,7324.430664,53041800
2022-06-23,7450.000000,7575.000000,7450.000000,7525.000000,7348.845703,60443000
2022-06-24,7600.000000,7600.000000,7475.000000,7475.000000,7300.016113,57956600
2022-06-27,7475.000000,7500.000000,7350.000000,7350.000000,7177.942383,76354100
2022-06-28,7300.000000,7400.000000,7300.000000,7300.000000,7129.112793,146078100
2022-06-29,7325.000000,7400.000000,7275.000000,7275.000000,7104.697754,98517800
2022-06-30,7300.000000,7400.000000,7250.000000,7250.000000,7080.283203,101343900
2022-07-01,7300.000000,7325.000000,7250.000000,7250.000000,7080.283203,68738800
2022-07-04,7250.000000,7275.000000,7000.000000,7050.000000,6884.964844,102238600
2022-07-05,7100.000000,7325.000000,7100.000000,7250.000000,7080.283203,69172900
2022-07-06,7300.000000,7325.000000,7175.000000,7300.000000,7129.112793,66801100
2022-07-07,7225.000000,7250.000000,7100.000000,7100.000000,6933.794434,86126800
2022-07-08,7125.000000,7175.000000,7075.000000,7150.000000,6982.624023,64312400
2022-07-11,7200.000000,7200.000000,7125.000000,7125.000000,6958.209473,36830800
2022-07-12,7175.000000,7250.000000,7150.000000,7175.000000,7007.039063,34269000
2022-07-13,7100.000000,7125.000000,7000.000000,7000.000000,6836.135742,71988200
2022-07-14,7025.000000,7100.000000,7000.000000,7025.000000,6860.550293,83316300
2022-07-15,7100.000000,7100.000000,7000.000000,7000.000000,6836.135742,57419900
2022-07-18,7025.000000,7150.000000,7025.000000,7150.000000,6982.624023,60077700
2022-07-19,7100.000000,7175.000000,7100.000000,7175.000000,7007.039063,59641000
2022-07-20,7200.000000,7400.000000,7175.000000,7400.000000,7226.771973,105792900
2022-07-21,7400.000000,7400.000000,7250.000000,7400.000000,7226.771973,64337100
2022-07-22,7400.000000,7400.000000,7300.000000,7325.000000,7153.527344,38956500
2022-07-25,7350.000000,7375.000000,7300.000000,7300.000000,7129.112793,31247600
2022-07-26,7250.000000,7375.000000,7250.000000,7300.000000,7129.112793,44379900
2022-07-27,7325.000000,7350.000000,7275.000000,7325.000000,7153.527344,58465500
2022-07-28,7375.000000,7450.000000,7325.000000,7350.000000,7177.942383,86909700
2022-07-29,7400.000000,7475.000000,7350.000000,7350.000000,7177.942383,131553000
2022-08-01,7350.000000,7500.000000,7350.000000,7500.000000,7324.430664,104841600
2022-08-02,7600.000000,7625.000000,7500.000000,7600.000000,7422.089844,106466900
2022-08-03,7625.000000,7625.000000,7575.000000,7625.000000,7446.504883,60170600
2022-08-04,7675.000000,7800.000000,7650.000000,7800.000000,7617.408203,164221000
2022-08-05,7825.000000,7875.000000,7725.000000,7875.000000,7690.652344,118734200
2022-08-08,7875.000000,7925.000000,7750.000000,7875.000000,7690.652344,84328900
2022-08-09,7875.000000,7975.000000,7875.000000,7900.000000,7715.067383,92875800
